Director with the best selling movies: Herman Yau, with a total gross of 15,824,268,249.00

+--------------------------------------+-----------------+
|personName                            |total_gross      |
|Patty Jenkins                         |1,051,802,006.00 |
|Robin Meyers                          |1,050,793,243.00 |
|David Ayer                            |1,048,467,038.00 |
|Mark Taylor                           |1,047,141,168.00 |
|Adrian Lyne                           |1,041,800,000.00 |
|Hamilton Luske                        |1,037,895,000.00 |
|Mohamed El Naggar                     |1,033,970,000.00 |
|Mona Makram                           |1,033,970,000.00 |
|Angus MacLane                         |1,030,000,000.00 |
|Francis Ford Coppola                  |1,027,244,194.00 |
|Rebecca Robertson                     |1,026,630,000.00 |
|Kevin Lee                             |1,025,521,689.00 |
|Matt Lee                              |1,025,521,689.00 |
|Hubert Davis                          |1,024,000,000.00 |
|Anthony "Pasquale" Giordano           |1,022,000,000.00 |
|Andrew Davis                          |1,008,171,745.00 |
|Kevin Lima                            |1,007,648,597.00 |
|Stephen Chow                          |998,425,321.00   |
|Rob Reiner                            |997,881,861.00   |
|Scott Derrickson                      |997,596,076.00   |
|John Trujillo                         |994,612,318.00   |
|Denis Villeneuve                      |993,702,210.00   |
|Frank Coraci                          |992,900,000.00   |
|Katie Eastridge                       |989,804,129.00   |
|Mari Wilson                           |982,638,263.00   |
|Chris Wedge                           |978,711,490.00   |
|Florian Baxmeyer                      |976,000,000.00   |
|Tim Johnson                           |974,500,000.00   |
|David MacDonald                       |972,290,123.00   |
|Brian Levant                          |968,900,000.00   |
|João Marco                            |968,000,000.00   |
|Slobodan Despotovski                  |968,000,000.00   |
|Tomas Villum Jensen                   |963,400,000.00   |
|Andy Serkis                           |960,919,788.00   |
|Ben Harper                            |954,000,000.00   |
|Sean Mullen                           |954,000,000.00   |
|Alex Sherwood                         |954,000,000.00   |
|Chris Williams                        |953,300,000.00   |
|David F. Sandberg                     |952,074,575.00   |
|Jerry Zucker                          |949,488,325.00   |
|Jenner Furst                          |949,000,000.00   |
|Wes Ball                              |948,791,252.00   |
|Sylvia Parker                         |946,412,107.00   |
|Doug Walker                           |945,500,000.00   |
|Jonathan Demme                        |942,061,376.00   |
|Dan Jeup                              |941,637,960.00   |
